,Answer,End,Start,TextTitle,Titles,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
12,I would be friends with Nick from The Mark Of the Thief because he had a nice and exiting life and he  has the power the power of a god! Also he really nice and just want to protect his friend and sure you might get hurt but hey whats life without a little danger. Plus you will live in Rome one of the best cultures (behind Greek) also you can see  mythilogical creatures like a griffin,[55],[34],Mark of the Thief,['The Mark Of the Thief'],12,12.0,12.0
13,"There is a book called The New Kid, and that kid has the same problem like the main person in the book smile, they both have the problem of feeling like they might get laughed at. And they both feel that they will not be noticed by any of the popular kids, in their mind everybody in the whole school will being laughing at them.",[108],[103],Smile,['smile'],13,13.0,13.0
14,Harry Potter and the Order of the Phoenix further means that the order of phoenix is a a secret group t stop voldemort while nobody thinks he is back.,[41],[0],Harry Potter and the Order of the Phoenix,['Harry Potter and the Order of the Phoenix'],14,14.0,14.0
15,"In the book The Phantom And The Tollbooth the boy,Milo was very kind to everyone, just like Chloe was kind  to everyone in the book The Kindness Club. Milo was really nice to the weather man, the little people in The Doldrums,  the watch dog,  the Spelling Bee,  the Humbug, and King.Azaz . Chloe from The Kindness Club is kind to Lucy, Theo, monroe and the it-girls, her mom,  her dad,  and Mrs.Gallager. both books are alike because they both have acts of kindness in them. both books are different because The Phantom And The Tollbooth has different characters than The Kindness Club and The Phantom And The Tollbooth isn't all about kindness but The Kindness Club is all about being kind","[149, 319, 586, 667]","[132, 302, 569, 650]",The Kindness Club,"['The Kindness Club', 'The Kindness Club', 'The Kindness Club', 'The Kindness Club']",15,15.0,15.0
16,It is alike Harry Potter because it is about magic. It is different because in Harry Potter they talk about wizards and in Pillage they talk about dragons and the human boy that raises them.,[130],[123],Pillage,['Pillage'],16,16.0,16.0
17,Well the girl in Smile is in middle school in  a pretty decent state or country she said it is mostly chilly there but I think I could adapt to her place plus they have buses that you stand on I would love to live in a place in smile.,[22],[17],Smile,['Smile'],17,17.0,17.0
18,I am reading Dragon Masters Saving the Sun Dragon.  The book is about a sun dragon and a red ball comes and sun dragons are sick to dark magic.  The Dragon Masters have to find the twin moon dragon.,[49],[28],Saving the Sun Dragon,['Saving the Sun Dragon'],18,18.0,18.0
19,"Harry wouldn't have succeeded at the tasks he faced in The Goblet of Fire without outside assistance because he wouldn't have known about the dragons or the underwater challenge, this reveals about Harry that he needed assistance.",[73],[55],Harry Potter and the Goblet of Fire,['The Goblet of Fire'],19,19.0,19.0
20,My favorite character in Happily Ever After is Amberley because right now she and the Prince are very close and the Prince says that he wants to marry Amberley.,[43],[25],Happily Ever After,['Happily Ever After'],20,20.0,20.0
21,This book was all about a girl named Ellie who's mom was a drama teacher. Her crazy grandpa shows up as a kid which is super weird.The Thing about Jellyfish is about another girl and her best friend dies. She also likes science like Ellie does so they would be good friends.,[156],[131],The Thing About Jellyfish,['The Thing about Jellyfish'],21,21.0,21.0
22,I reather live in the world in millon dolar throw because the peaple are a lot nicer than a nother book i read.,[49],[31],Million-Dollar Throw,['millon dolar throw'],22,22.0,22.0
23,"Harry wouldn't have succeeded at the tasks he faced in The Goblet of Fire without outside assistance because he wouldn't have known about the dragons or the underwater challenge, this reveals about Harry that he needed assistance.",[73],[55],Harry Potter and the Goblet of Fire,['The Goblet of Fire'],23,23.0,23.0
24,I think that Jackie Robinson would like the section in the On my Honor when Joel challenges tony to a race to the sand bar because he likes to be challenged to things.,[70],[58],On My Honor,[' On my Honor'],24,24.0,24.0
25,One book is similar but it is not about Greek Mythology unlike Percy Jackson's is about Greek Mythology.,[76],[63],"The Lightning Thief (Percy Jackson and the Olympians, #1)",['Percy Jackson'],25,25.0,25.0
26,I like the pigeon the best because he is funny.,[],[],Don't Let the Pigeon Drive the Bus!,[],26,26.0,26.0
27,"what I want to explain about the book ""the cellar"" is that this book is really cool it really has a lot of details in the book. This is a really interesting book for readers that want to read something new and detailed",[49],[39],The Cellar (The Cellar #1),['the cellar'],27,27.0,27.0
28,"One of the main ideas or themes in the novel ""Adrift"" is to have faith and hope. The author discusses this idea by showing how each character gives each other boosts of confidence and hope even through how emotionally and physically weak each of the teens are. One example from the text is, ""You'll see, I know. You're going to survive this thing if it kills me. By tonight we'll be watching towboat TV."" This is John telling the teens to have faith and keep hoping to survive.",[52],[46],Adrift,['Adrift'],28,28.0,28.0
29,one way I would feel in the main character shoes would be mad and happy because in the beginning of the story Green Eggs and Ham the main character didn't want to try green eggs and ham but at the end Sam bade him try Green Eggs and Ham because he wouldn't stop bugging the main character to finally Try Green Eggs and Ham so the main character Friday just so Sam could stop bugging him.,[128],[110],Green Eggs and Ham,['Green Eggs and Ham'],29,29.0,29.0
30,You need to read Anne Frank. It will change your life . It tells the real story of her,[27],[17],A Picture Book of Anne Frank,['Anne Frank'],30,30.0,30.0
31,"Dog Man's strengths is the visuals that it gives us. The pictures make to fully explain because five words can't. I guess that's why a picture is worth a thousand words. Dog Man's storyline is also as extravagant as the pictures. The story line is cliche, but the author was able to stand out with his story line. The book is also able to give you that urge to keep reading. I have no idea how it does it, but it does. Of course it doesn't have a ton of words, but it's a comic book. Overall, Dog Man is a role model for comic books.","[7, 177, 500]","[0, 170, 493]",Dog Man,"['Dog Man', 'Dog Man', 'Dog Man']",31,31.0,31.0
32,"Some other texts that I have read that are in the same genre are  fantasy are from Beauty and the Beast, ""RRROOOOOAAAAARRRRR!!!!!!!!!!!!!""  the Beast was very angry now.  And how the Diary of a Wimpy Kid are similar because  Greg is always yelling ""NO WAY!!!!!!!!!!!!!""  I like this text is the best because the 2 characters are yelling at that point of the story. Why Greg was yelling at his brother and the Beast was yelling at Belle's father.",[203],[183],Diary of a Wimpy Kid: #1-4,['Diary of a Wimpy Kid'],32,32.0,32.0
33,the disagreement that happened in Green Eggs and Ham was this green monster did not want to eat green eggs and ham so his friend helped them along the way with this cool little poem in telling him that it's good it's great if yummy even though it looks really bad and at the end he tried it and he actually liked it so you should always try new things,[52],[34],Green Eggs and Ham,['Green Eggs and Ham'],33,33.0,33.0
34,"I have never read about a similar topic to ""The Classroom At The End Of The Hall."" I've read about ca classroom... not much
 It's called ""Fourth Grade Rats""  so I never got to read about the book so yeah that is about it",[80],[44],Classroom At The End Of The Hall,['The Classroom At The End Of The Hall'],34,34.0,34.0
35,"I did not enjoy reading The Book Thief because I got very bored reading the book sometimes because the book stalls a lot or nothing interesting happens. About halfway through the book, the plot begins to thicken and the story gets better but overall, i did not enjoy reading this book.",[38],[24],The Book Thief,['The Book Thief'],35,35.0,35.0
36,This book made me laugh. My friends would like this book too. Yes they should read Olivia.,[89],[83],Olivia,['Olivia'],36,36.0,36.0
37,The most likely character from The Outsiders to commit a crime is Dally.  He has committed other crimes in the past and always seems to be at the center of any drama or any suspicious activity.  Dally has a gun and other weapons and hangs out with a notorious crowd.  He is extremely jaded in his view of life and seems to create situations that will draw others into illegal activity.  Dally would be the FBI's primary suspect rather than any other character in the novel because of his corrupt past.,[44],[31],The Outsiders,['The Outsiders'],37,37.0,37.0
38,I like Harry Potter and the chamber of secrets because Harry Potter saved Ron's  sister and risked his life doing it. And when he explained it to Dumbeldore he tried his best not to get her expelled.,[46],[7],Harry Potter and the Chamber of Secrets,['Harry Potter and the chamber of secrets'],38,38.0,38.0
39,"Something that happened at the beginning of ""The Running Dream"" was that a girl named Jessica had a tragic accident and they had to cut her leg off so now she can't run anymore. Another thing  that just happened was that her crush called her to see how she was doing and she was so glad that he called her. But she still has not left the hospital and she is still learning how to walk with one leg. That's all that has happened in ""The Running Dream"".","[62, 449]","[45, 432]",The Running Dream,"['The Running Dream', 'The Running Dream']",39,39.0,39.0
40,"In the first chapter of The Lemonade War, Evan is mad at Jessie and Jessie does not have a hint why. That chapter leads to the second  chapter well because in the next chapter, Evan starts being rude       to Jessie and stops playing with her.",[40],[23],The Lemonade War,[' The Lemonade War'],40,40.0,40.0
41,In my response to this I would say the author did a excellent job ending the chapters in the book people of Sparks,[114],[98],The People of Sparks,['people of Sparks'],41,41.0,41.0
42,"I think a good title for the Charlie and the Chocolate Factory Is ""Charlie gets the Chocolate factory ""because at the beginning,Charlie was poor but nice.and at the last,Charlie gets the golden ticket and gets the whole factory.I think Charlie Would be happy,and live his whole life with his love,chocolate and his family",[62],[29],Charlie and the Chocolate Factory,['Charlie and the Chocolate Factory'],42,42.0,42.0
43,"Holes is a very good book written by an amazing author, Louis Sachar. This man has amazing talent in writing his text and giving good explanation with deep details. If I were you guys, I would buy this book and Read, Read, Read!",[5],[0],Holes,['Holes'],43,43.0,43.0
44,"I think the movie Stuart Little would be a good movie to watch after reading Frindle because both of them, supposedly make no sense at all. I mean, a mouse talking, what the heck? Frindle, a new word meaning pen all of a sudden without any specific reason? Yet they both give good reasoning at the same tim and are very similar.",[84],[77],Frindle,['Frindle'],44,44.0,44.0
45,"Diary of a Wimpy Kid Dog Days.
I liked Diary of a Wimpy Kid Double Down better because it had a lot of humor in it like when Greg played a prank on Rowley and put gummy worms coming out of his nose and then he ate it.",[71],[39],Diary of a Wimpy Kid: Double Down,['Diary of a Wimpy Kid Double Down'],45,45.0,45.0
46,The characters in Sunny Side Up by Jennifer L. Holm are Sunny who is the main character and Sunny's grandfather the book also has sunny's parents and her siblings.,[31],[18],Sunny Side Up,['Sunny Side Up'],46,46.0,46.0
47,You should watch Harry Potter and the order of he phoenix because it is the book in the form of moive,[57],[17],Harry Potter and the Order of the Phoenix,['Harry Potter and the order of he phoenix'],47,47.0,47.0
48,The theme of Holes is hope.Stanley does not give up on trying to find justice and trying to help other people like zero.Also stanley hopes to find out how to break the curse.,[19],[13],Holes,['Holes '],48,48.0,48.0
49,Double Fudge is the funniest book that I have ever read. So if you like funny books then read Double Fudge I hope you like it.,"[12, 106]","[0, 94]",Double Fudge,"['Double Fudge', 'Double Fudge']",49,49.0,49.0
50,What drives or motivates harry potter to do what he does is he just wants to save his friends and  family. I have learned that because in  every Harry potter book there is someone  in trouble that he wants to save. Harry potter saves anyone who is in troble because he just wants to save everything in trouble.,[157],[145],Harry Potter and the Chamber of Secrets,['Harry potter'],50,50.0,50.0
51,"The main theme in The Help is overcoming racism. At its core, The Help is an exploration of the ways in which racism affected every aspect of life in 1960s Jackson, Mississippi, from laws that make racism and discrimination common and a part of life, to normal conversations shown in this book between white women at lunch. Some evidence of this theme is when Miss Hilly openly expresses her belief that African-Americans are figuratively, and literally ""unclean"". That they are prone to more diseases not carried by white people, and have lower morals or lack morals. Racism is show in a larger scale in this book, like reinforcing segregation. For example, when Miss Hilly encourages Miss Lefolt to build an outside toilet for Aibileen. The white woman also don't let their maids touch them, sit at their same table, or share their foods and utensils.","[26, 70]","[18, 62]",The Help,"['The Help', 'The Help']",51,51.0,51.0
52,If I was preparing to write an essay on sisters  then I would research everything before I would write it or make a rough draft and I would solve it by race,[47],[40],Sisters,['sisters'],52,52.0,52.0
53,My favorite part of 'Harry Potter and the Deathly Hallows' is the epilogue because it shows Harry and Ginny were able to move on from the sad battle against Voldemort and his followers.,[57],[21],Harry Potter and the Deathly Hallows,['Harry Potter and the Deathly Hallows'],53,53.0,53.0
54,"yes i have read a book in the same genre as the one and only ivan.
To me i would rather read books that are fiction because i like books with happy endings or suprising endings because it always ends with something amazing.",[65],[44],The One and Only Ivan,['the one and only ivan'],54,54.0,54.0
55,"Harry Potter is the protagonist in the text. He is pure loyal to his friends and regularly helps people out. He's friendly to almost everyone. He is selfless, compassionate, adventurous, instinctive, optimistic, curious, heroic, and many other adjectives. I would cherish being friends with him or even just being in the Harry Potter world.",[333],[321],Harry Potter and the Sorcerer's Stone,['Harry Potter'],55,55.0,55.0
56,"I think the author of Diary of a Wimpy Kid has a sense of humor. Yes, I would recomened this book to people because the author is hilarious.",[42],[21],Diary of a Wimpy Kid: #1-4,[' Diary of a Wimpy Kid'],56,56.0,56.0
57,"Peter Pan would be perfect to watch before or after reading code of honor. The plots of the story are similar. In the movie Peter pan, Peter Pan did the impossible defeating Captain hook with what little he had with him. In the book code of honor, Kamran Smith does the impossible defeating an attack on the Superbowl with his brother Darius. There for the two plots are very similar both do the impossible with barely nothing to help them but close friends and family.","[73, 246]","[60, 233]",Code of Honor,"['code of honor', 'code of honor']",57,57.0,57.0
58,"Hello, listeners today we are telling you about the book ""Sisters"". They are on a trip and the two sisters hate each other. But they are stuck in the car together for 3 days.But I'm am going to stop there so you guys can read it yourselves.",[65],[58],Sisters,['Sisters'],58,58.0,58.0
59,People should read Captain Underpants and the Terrifying Return of Tippy Tinkletrousers because it is time traveling and about how you should stop bullying and let you know about schools you should go to,[88],[19],Captain Underpants and the Terrifying Return of Tippy Tinkletrousers,['Captain Underpants and the Terrifying Return of Tippy Tinkletrousers '],59,59.0,59.0
60,I read fever 1793 and I learned that people had yellow fever. I learned that they tried to help the people by drawing blood from them. I learned that bleeding them made them die. I learned a lot from the book because it taught me about yellow fever in a entertaining way.,[17],[7],Fever 1793,['fever 1793'],60,60.0,60.0
61,"I believe that SMILE is a  good title for this book because this book is all about Raina's teeth and how it, at times,  is difficult to smile. Another title could MAYBE be FRIENDS because it's all about friends, too. Raina has some friends that are super  unkind to her and some are kind.",[20],[15],Smile,['SMILE'],61,61.0,61.0
62,"Noting because  they just wanted to pretty rain and they just wanted rain/water if they made   a next book about this we just be like what.... because  its just rain/water if the next  book about this name will  be .No rain anymore?  whats.. just like nope if i made Come On, Rain! ill just  make  one book  and no part   two",[282],[267],"Come On, Rain!","['Come On, Rain! ']",62,62.0,62.0
63,"If I had to cut one part in ""The Dark Hills Divide"" that was not valuable, I would cut the part where Alexa was fighting with Pervis Kotcher, the guard that protects the people from the other side of the wall.  First of all this part is unnecessary because  Alexa is just curious about what lies on the other side of the wall, why would an adult take that curiosity away from Alexa.  In addition, Pervis is very threatening to her saying things like, "" You know Alexa, now that Warvold is gone, I can do whatever I want.""(pg.41) Also in the text it says that Pervis is seeing the negative sides in Alexa, why can't he see the positive side of her.  In conclusion,this is one of the parts I would cut out of ""The Dark Hills Divide"" and why I would do so.",[50],[29],The Dark Hills Divide,['The Dark Hills Divide'],63,63.0,63.0
64,I thank the next book should be about  being lost in the woods.I thank this because it would have some funny stuff in it and it would be interesting. I know to chocs this explanations because when i was reading The Long Haul there were funny stuff  in it and it capt me entertained.,[224],[211],Diary of a Wimpy Kid: The Long Haul,['The Long Haul'],64,64.0,64.0
65,"I read a book called ""My Side of The Mountain"" that was similar to this piece. In ""My Side of The Mountain"" a boy runs away from home and has to survive in the wilderness with almost nothing. Both stories are based around a boy surviving on his own. I Learned more from the ""I Survived Hurricane Katrina, 2005""  than ""My Side of The Mountain"". I learned more from the ""I Survived"" story than the other because ""I Survived Hurricane Katrina, 2005"" was based on a natural disaster that actually happened and ""My Side of The Mountain"" was pure fiction.",[445],[411],"I Survived Hurricane Katrina, 2005","['I Survived Hurricane Katrina, 2005']",65,65.0,65.0
66,my favorite part of enemy pie is when  Jeremy Ross and the main character be come friends this part is my favorite because they are not enmy so any more,[29],[20],Enemy Pie,['enemy pie'],66,66.0,66.0
67,"I will say ''Hey everybody the new book sisters is now in shelves! story is interesting, there a great plot line, and is very funny to readers everywhere! so get your sisters book today!",[47],[40],Sisters,['sisters'],67,67.0,67.0
68,I think about sleeping beauty. Sleeping beauty's problem was that she got cursed and would sleep for a hundred years while Cinderella's problem was her stepmother and stepsisters.,[],[],Cinderella,[],68,68.0,68.0
69,Currently in the book Cinder the setting is taking place in a jail cell in the castle. The cell is described as an all white room with grates and a door. If the setting changed Cinder would most likely die because she just found out that she is Princess Selene and the lunar queen can't have any heirs in line for throne. The plot would be so much less captivating and there would be no point of writing the book in my personal opinion. This is because if Cinder dies then the idea of a happy ending would be useless making this book less like Cinderella.,[28],[22],Cinder,['Cinder'],69,69.0,69.0
70,Gilderoy and Harry fought because Harry tried getting him to get up and fight. Gilderoy got angry and blamed Harry for causing the situation to happen in the first place. He tries to place the memory charm on him and it backfires and hits himself instead.,[],[],Harry Potter and the Chamber of Secrets,[],70,70.0,70.0
71,I do think that my whole class should read it. It is an amaizing book. I enjoyed when  Omri got the key from his mom and made the indian come to life.,[],[],The Indian in the Cupboard,[],71,71.0,71.0
72,"There is a boy, his name is Harry Potter, and he is a wizard. He has two friends. He goes to school, just like you. He is being chased by someone who escaped out of a horrible place like jail. But, his friends are trying to keep him away from the prisoner.",[],[],Harry Potter and the Prisoner of Azkaban,[],72,72.0,72.0
73,This a famous book called Esperanza Rising by Pam Munoz Ryan it is a hit. They are runing out of books hurry people they are runing out quickly!this has a award for one of the best books of the year.Esperanza Rising is best on a true story its the story of Pam Munoz Ryan grandmother.,"[42, 215]","[26, 199]",Esperanza Rising,"['Esperanza Rising', 'Esperanza Rising']",73,73.0,73.0
74,"I think after reading this book you should watch the Daniel Boone documentary for, it is about the same person and you might find out something you didn't know before.",[],[],Who Was Daniel Boone?,[],74,74.0,74.0
75,"Yes, I have read a lot of fairy books.  Brianna is different because she is a tooth fairy.  The last fairy book I read the fairy was a rock star fairy and her magic was her microphone.",[],[],Brianna the Tooth Fairy,[],75,75.0,75.0
76,I think that freeing Doby the house elf made Harry the happiest because he was helping a slave creature be let loose. I think it made him happy because he was helping. That particular moment also came back to him later on in his life in both good ways and in bad ways as well.  One way is that Doby later saved him.,[],[],Harry Potter and the Chamber of Secrets,[],76,76.0,76.0
77,"The word in the book ''Night of the Living Worms'', that makes me happy is french because I've always wanted to go there.",[48],[23],Night of the Living Worms: A Speed Bump & Slingshot Misadventure,['Night of the Living Worms'],77,77.0,77.0
78,GHOST is similar because they both have sisters also both have an adventure  ghost they find a boy that gives ghost tours and sister they have an adventure in the car.,[132],[126],Sisters,['sister'],78,78.0,78.0
79,"Alec and Jace, two main characters in The City of Heavenly Fire, are different from each other, even though they are parabatai. If they were to run for class president, I would vote for Alec. Alec is the one who keeps Jace in line and is like the older brother of the group. If he were to run for class president, I would trust him to be responsible and make the right decisions for the entire class. He would also be ideal for debating for the right cause. I know he is used to being different, based on his relationship views, and I believe that he will fight equally for our class's views. If he can attend Clave meetings and be responsible for Jace, Isabelle, and Clary when they go on adventures, dealing with a classroom of kids (minus demons) should be no sweat!",[63],[38],City of Heavenly Fire,['The City of Heavenly Fire'],79,79.0,79.0
80,"My review is on the book wonder
Wonder  is my favorite book.
This book is about kid that is deformed his name is August by age ten he decided he wanted to go to public school instead of being home schooled but he has hesitations.
   
    My favorite part of this book was when August's mom was  telling the story of when august was born.
     This book made me (wonder) what middle school would be like for me.
                Over all I think this book was commendable.","[31, 38]","[25, 32]",Wonder,"['wonder', 'Wonder']",80,80.0,80.0
81,The babysitters club is about a group of friends who start babysitting. Another  book I read was phoebe and her unicorn.  Instead of having a real friend she has a unicorn for a friend.  These books are similar because they both have friends.  Also both of these books a graphic novels .,[20],[0],The Baby-Sitters Club Graphix #1: Kristy's Great Idea,['The babysitters club'],81,81.0,81.0
82,I'm curios about how the theme was thought of? The outsiders is about a boy named Ponyboy and his gang that has a Rival the socs . The theme seems more different than other realistic stories I have read before. The realistic themes that I have read were mostly about problems in life but the outsiders has the most questions then the other books I have read.,"[60, 301]","[47, 288]",The Outsiders,"['The outsiders', 'the outsiders']",82,82.0,82.0
83,"the book stone fox is about a fox who is not afraid of anything he love his family and his a loving, fighting fox he goes on a a lot of trips with his family and is not afraid of nothing when he goes",[19],[9],Stone Fox,['stone fox '],83,83.0,83.0
84,I think that the main character of a dogs purpose would be bailey was always happy. For example bailey would jump in the pond when he was happy .Next bailey would run to his owner when the owner was out side.,[50],[35],A Dog's Purpose,['a dogs purpose '],84,84.0,84.0
85,My favorite person in Sisters is Raina because she is adventurous and acts just like me. The scene when Raina and her sister are fighting at the dinner table would be really different if Raina was not there. Everyone would be so joyful. Her family would have had a great dinner.,[29],[22],Sisters,['Sisters'],85,85.0,85.0
86,"Hollow City is so full of surprises! This book has  caught me by surprise many times! If mystery, friendship, and a touch of magic is your thing, then this is your book!",[11],[0],Hollow City,['Hollow City'],86,86.0,86.0
87,When I was reading harry potter and his friends were arguing that Voldemort had a child.I would of acted the same way because harry potter thought he had killed Voldemort.,[32],[19],"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",['harry potter '],87,87.0,87.0
88,"One multiple meaning word I found in the text of The Tiger Rising was shoot. In the book, the meaning was like shooting something  or someone with a gun. I know this because Rob's dad had shot the tiger with his gun when it had come to the motel",[65],[49],The Tiger Rising,['The Tiger Rising'],88,88.0,88.0
89,in my opinion there was no part of Diary of Wimpy Kid the Last Straw that I thought was uninteresting I I thought all of it was interesting because there are constant dilemmas four for the main character and that makes for an interesting story and I've liked all of his other Productions for example I desire how in some parts he right fiercely and in other parts he's more calm to where you can see how he was completely feeling by the way here he Expressed himself.,[68],[34],Diary of a Wimpy Kid: The Last Straw,[' Diary of Wimpy Kid the Last Straw'],89,89.0,89.0
90,The School Nurse from the Black Lagoon is a Wacko that is my new title for the line,[38],[0],The School Nurse from the Black Lagoon,['The School Nurse from the Black Lagoon'],90,90.0,90.0
91,"Hagrid gets extraordinarily crazy furious when he discovers the Dursley's have not told Harry the truth about being a wizard or about what happened to his parents.  On page 42 in Harry Potter and the Sorcerer's Stone it states, ""All what?  asked Harry.  ALL WHAT? Hagrid thundered. Now wait jus' one second.""  Hagrid was furious because Harry thought his parents were killed in a car crash and they were actually killed by ""you know who"".",[216],[179],Harry Potter and the Sorcerer's Stone,"[""Harry Potter and the Sorcerer's Stone""]",91,91.0,91.0
92,"Diary of a wimpy kid is like this book because everyone thinks they are both losers beside  one,one of his friends and people bully him like in diary of a wimpy kid they humiliate him in diary of a wimpy kid like in Loser that is why i think that is a good movie to watch before or after you read this book.",[222],[216],Loser,['Loser '],92,92.0,92.0
93,"The main message in ""The Stray Dog"" is be kind to strangers and don't ignore people you don't know that well. You can be kind to strangers by saying hello and talking to them.",[34],[21],The Stray Dog,['The Stray Dog'],93,93.0,93.0
94,After reading spaghetti in a hot dog bun I would read or watch The Diary of a Wimpy Kid because there are many times that Greg has to be brave and use courage.,[40],[14],Spaghetti in a Hot Dog Bun: Having the Courage To Be Who You Are,['spaghetti in a hot dog bun'],94,94.0,94.0
95,Smile is another book that is the same as Sisters. Thee sisters do not get along. I read them long time ago while I was in 3rd grade. There are book that are same as smile and sisters or other comic that will talk about sisters. Enjoy reading it!,[49],[42],Sisters,['Sisters'],95,95.0,95.0
96,When Clarience changes her attitude towards Percy and decides to further help them in the Sea of Monsters.,[105],[86],The Sea of Monsters,['the Sea of Monsters'],96,96.0,96.0
97,The part in Big Nate Flips Out where Francis keeps telling Nate the fact that he was a slob over and over again really bored me.,[30],[12],Big Nate Flips Out,['Big Nate Flips Out'],97,97.0,97.0
98,i would draw a car in a crash and a huge cliff that they got throw over in the crash and became a part of Everlost,[114],[106],Everlost,['Everlost'],98,98.0,98.0
99,"this book has dashing vocabulary that would allow any kid to turn into a superhero of words! Come buy this book and you will be glad you did, Tales from a Not-So-Perfect Pet Sitter.",[180],[142],Tales from a Not-So-Perfect Pet Sitter,['Tales from a Not-So-Perfect Pet Sitter'],99,99.0,99.0
100,I think I would watch the movie twilight to see what it is about to give me an idea. The the movie will tell me what to hope for. Twilight  movie probably won't have the details that the book has but it is the same in the way that you feel the impossible love.,[138],[130],Twilight,['Twilight'],100,100.0,100.0
101,"In my opinion the author does do awesome time ending chapters in the book Wonder  because the author closes the chapter up when the event is over. Sometimes the author leaves Cliffhangers which makes the text more interesting and exciting. There are also a lot of action moments, so it makes the text more interesting.The author does awesome grammar and great vocabulary too.",[80],[74],Wonder,['Wonder'],101,101.0,101.0
102,The Sisters part of the text is literally and not figuratively because the main character actuly has a sister instead of figuratively a sister.,[11],[4],Sisters,['Sisters'],102,102.0,102.0
103,"""A Day's Work"" written by Eve Bunting is a realistic fiction book about a boy named Fransisco. Fransisco and his family are in need of money so he and his Abuelo (Grandfather) head out to find work. They land a gardening job, but only because Fransisco lied to their boss about their skills. Fransisco says, ""my grandfather is a fine gardener..."" when really his grandfather has never gardened before. Will Fransisco and his grandfather know what to do? Or will they make a fool of themselves? Read ""A Day's Work"" to find out! I would recommend this book to any student who enjoys realistic fiction and some humor. This book teaches a great lesson about honesty and I think that's an  important lesson for all ages. For all of these reasons, you should read this book today!","[13, 512]","[1, 500]",A Day's Work,"[""A Day's Work"", ""A Day's Work""]",103,103.0,103.0
104,"I think you should watch ""The Ransom Of RedCheif""  the movie after the book because there are some differences in the movie and I think it's better to read the book before the movie.",[48],[26],The Ransom of Red Chief,['The Ransom Of RedCheif'],104,104.0,104.0
105,All Greek god fans should definitely read this book.It has all the facts about your favorite Greek gods with a lot of jokes. you will enjoy it  more if you have read Percy Jackson.,[179],[166],Percy Jackson's Greek Gods,['Percy Jackson'],105,105.0,105.0
106,The fire in Chicago of 1871 I would chose this because it is about a fire an it would seem more interesting,[27],[0],"I Survived the Great Chicago Fire, 1871",['The fire in Chicago of 1871'],106,106.0,106.0
